 ,Area,Mean,Min,Max,Angle,Length
1,0.003,121.198,68.378,206.946,-74.378,0.856
2,0.004,118.119,47.645,177.905,-64.069,0.947
3,0.004,113.281,37.039,212.686,-92.246,0.997
4,0.004,117.059,37.305,169.410,-89.760,0.934
5,0.004,121.930,43.269,202.139,-86.233,0.951
6,0.004,115.462,51.254,192.459,-79.097,0.971
7,0.003,114.528,27.145,183.400,-72.154,0.841
8,0.004,121.398,34.033,186.309,-64.006,1.052
9,0.004,119.885,58.556,207.401,-58.166,0.970
10,0.003,109.346,38.590,163.421,-47.816,0.843
11,0.003,118.336,40.641,208.717,-60.919,0.836
12,0.004,119.560,33.307,199.073,-84.915,0.925
13,0.004,127.701,55.383,188.933,-84.375,1.036
14,0.004,121.713,40.827,177.803,-90.902,0.992
15,0.003,97.335,59.934,131.286,-93.278,0.888
16,0.004,98.963,54.312,152.006,-99.752,1.015
17,0.004,120.066,64.767,173.199,-84.512,0.899
