 ,Area,Mean,Min,Max,Angle,Length
1,0.003,115.998,60.193,183.841,-89.446,0.809
2,0.003,113.814,54.146,163.910,-92.970,0.829
3,0.003,111.377,59.579,173.579,-86.987,0.818
4,0.003,141.908,101.943,176.928,-84.721,0.722
5,0.003,136.102,62.571,169.743,-88.363,0.684
6,0.003,102.264,48.000,160.902,-88.877,0.797
7,0.003,115.773,49.366,166.593,-78.245,0.690
8,0.004,127.738,64.922,169.931,-65.714,1.054
9,0.003,109.916,70.562,162.232,-73.668,0.875
10,0.003,119.105,60.571,172.127,-79.838,0.841
11,0.003,123.901,70.455,176.273,-87.397,0.774
12,0.003,121.842,57.820,177.530,-95.587,0.722
13,0.003,137.851,66.758,179.531,-91.086,0.824
14,0.004,125.641,61.151,177.353,-91.204,0.930
15,0.003,120.472,61.000,161.759,-90.306,0.730
16,0.003,122.233,61.846,159.174,-82.687,0.736
17,0.003,129.174,62.190,173.318,-84.806,0.777
18,0.003,125.656,65.920,181.752,-80.580,0.859
19,0.003,119.980,62.000,176.269,-80.803,0.831
20,0.003,123.097,64.635,163.255,-70.067,0.756
21,0.003,115.244,61.729,168.106,-89.326,0.664
22,0.003,122.798,65.098,163.781,-85.438,0.737
