 ,Area,Mean,Min,Max,Angle,Length
1,4.425E-4,144.655,51.000,255.000,0.000,0.109
2,0.004,115.698,31.000,221.000,-90.000,1.031
3,0.004,119.019,38.692,175.963,-61.635,0.946
4,0.003,113.306,37.013,192.838,-64.641,0.830
5,0.003,122.111,42.065,225.898,-73.836,0.842
6,0.004,115.575,40.325,185.168,-64.200,0.915
7,0.004,122.820,70.412,170.429,-90.722,0.930
8,0.004,123.793,39.795,199.598,-89.098,0.992
9,0.004,127.366,39.261,243.138,-78.457,1.132
10,0.004,121.497,34.463,199.088,-85.845,0.916
11,0.003,123.262,30.637,182.210,-75.466,0.872
12,0.004,121.699,46.733,205.791,-65.702,1.016
13,0.003,115.779,36.571,209.187,-57.068,0.819
14,0.004,120.553,33.211,208.081,-83.713,0.927
15,0.004,120.678,60.306,172.606,-84.979,0.937
