 ,Area,Mean,Min,Max,Angle,Length
1,4.730E-4,92.355,57.000,255.000,0.000,0.117
2,0.003,129.662,68.848,176.585,-105.983,0.809
3,0.003,132.630,42.784,191.265,-74.745,0.802
4,0.003,133.063,47.798,182.951,-70.346,0.871
5,0.003,128.702,53.725,193.949,-116.301,0.758
6,0.003,118.554,30.000,197.390,-108.143,0.728
7,0.004,133.873,48.894,204.548,-105.576,0.916
8,0.003,133.082,55.756,185.872,-80.327,0.697
9,0.003,136.960,49.222,191.833,-67.952,0.843
10,0.003,140.171,52.213,206.646,-26.152,0.727
11,0.003,124.045,51.069,182.496,-32.963,0.768
12,0.003,142.933,50.364,184.112,-42.580,0.785
