boxID,magnification,imageName,specimenNR,formation,zh,oh,ow.m,ow.b,o.side,mpw.b,cw.m,cw.b,cw.d,c.side,zh.zw,oh.ow,ln.zh,ln.mpw.b,ln.cw.m,ln.cw.d,ln.ow.m,ln.oh,ln.o.side,ln.c.side
684_1421_393_539,x30,001_CC_1_15v_x30_BSE,001CC,NKBS,657.6564932,0.107321965,422.084342,336.6700621,284.7624746,138.770931,433.1486716,254.1736271,436.8919008,268.1620643,1.50530713,0.000254267,6.488682748,4.932824595,6.071081021,6.079685798,6.045205157,-2.23192194,5.65165541,5.591591515
478_1143_463_641,x30,001_CC_2_15v_x30_BSE,001CC,NKBS,794.5951516,0.092611595,496.9627495,431.1827824,324.6572464,165.8395317,475.2503896,307.2144613,522.9877752,340.4654498,1.519337907,0.000186355,6.677832742,5.111020644,6.163841801,6.259558089,6.208515073,-2.379340927,5.782769999,5.830313652
707_1472_507_608,x30,001_CC_2_15v_x30_BSE,001CC,NKBS,798.3542008,0.091871245,506.890834,432.6863577,326.2637225,198.9116331,475.4222497,265.5125255,540.3200706,348.5319004,1.477557922,0.000181245,6.68255236,5.292860671,6.164203356,6.292161687,6.228295663,-2.387367191,5.787706019,5.853729762
442_388_450_686,x30,001_CC_2_15v_x30_BSE,001CC,NKBS,770.6553305,0.099607314,456.4130919,392.2293331,327.6859133,166.6013008,460.9428126,286.57813,477.1973661,311.4823076,1.614961409,0.000218239,6.647241232,5.115603537,6.133273985,6.167930171,6.123398303,-2.306519682,5.792055568,5.741342539
212_771_454_593,x30,001_CC_2_15v_x30_BSE,001CC,NKBS,801.9632208,0.107927961,441.3104027,350.5387093,310.2733987,141.8950022,367.8202645,222.8700433,420.6140826,351.5458193,1.906648527,0.000244562,6.687062748,4.955087363,5.907594407,6.041715745,6.089748489,-2.226291303,5.73745384,5.862340057
153_1563_465_628,x30,001_CC_2_15v_x30_BSE,001CC,NKBS,789.3189667,0.092561895,498.475494,430.8321412,343.4335811,180.2611744,527.8929213,368.4342172,542.7337299,330.3088087,1.454339252,0.00018569,6.671170506,5.194406768,6.268893463,6.296618831,6.211554429,-2.379877725,5.838993734,5.800028001
300_726_369_586,x30,001i_CC_1_5v_x30_BSE,001iCC,NKBS,658.4344522,0.126045492,345.4524986,272.6320321,280.7516375,146.1491078,297.9267715,167.6522179,315.3931175,260.006141,2.087662716,0.000364871,6.489864975,4.984627387,5.696847723,5.753819853,5.844855148,-2.071112388,5.637470426,5.56070525
12_1025_422_684,x30,001i_CC_1_5v_x30_BSE,001iCC,NKBS,871.387133,0.104345793,437.7418465,356.4394634,305.5195914,217.8780305,315.3931175,172.0054632,386.4910524,387.5513498,2.254611401,0.000238373,6.770086348,5.383935413,5.753819853,5.957108717,6.081629345,-2.260044964,5.722013906,5.959848356
409_16_431_748,x30,001i_CC_1_5v_x30_BSE,001iCC,NKBS,862.2029308,0.105025847,422.9737014,360.6469526,321.8463018,186.9353661,436.1839083,257.304067,435.9559836,381.4160178,1.97772932,0.000248303,6.759490661,5.230762922,6.078063962,6.077541283,6.047310005,-2.253548795,5.774074108,5.94389069
73_285_333_646,x30,001i_CC_1_5v_x30_BSE,001iCC,NKBS,782.2408798,0.156872813,326.2906635,217.0766834,314.5038246,143.6496844,301.3483263,171.2120759,275.7553625,300.1046247,2.836720464,0.000480776,6.662162724,4.967377589,5.708266826,5.619514105,5.78778859,-1.852319913,5.750996237,5.704131163
642_1067_384_687,x30,001i_CC_1_5v_x30_BSE,001iCC,NKBS,849.2211568,0.117785271,402.0040421,304.6555015,293.7252408,176.5753676,347.7896495,206.5938062,367.2015775,386.8379363,2.312683846,0.000292995,6.744319643,5.173747797,5.851597842,5.905910955,5.996462143,-2.138892052,5.682644775,5.958005836
796_779_356_612,x30,001i_CC_1_5v_x30_BSE,001iCC,NKBS,771.1992844,0.114887796,389.4704076,301.6238046,269.3564242,186.1251546,333.0309382,174.0513458,369.493283,350.8568001,2.087180796,0.000294985,6.647946815,5.226419322,5.808235393,5.912132562,5.964787887,-2.163799312,5.5960355,5.860378163
